City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,kyzyl-suu,42.3414,78.0056,2.61,35,0,2.37,KG,1680476449
311,talcahuano,-36.7167,-73.1167,16.82,67,0,5.14,CL,1680476449
312,port lincoln,-34.7333,135.8667,17.84,56,72,2.34,AU,1680476449
313,cabedelo,-6.9811,-34.8339,27.37,75,86,3.52,BR,1680475850
314,watertown,42.3709,-71.1828,7.45,24,0,7.6,US,1680475589
315,aklavik,68.2191,-135.0107,-9.13,81,99,3.55,CA,1680475852
316,muros,42.7762,-9.0603,10.47,84,83,3.57,ES,1680475855
317,xichang,27.8964,102.2634,9.94,72,3,1.21,CN,1680476450
318,nouadhibou,20.931,-17.0347,25.99,50,2,5.14,MR,1680476450
319,faya,18.3851,42.4509,15.06,82,56,0.73,SA,1680476450
320,vestmanna,62.1564,-7.1664,4.51,87,100,4.12,FO,1680476450
321,manokwari,-0.8667,134.0833,26.88,79,99,3.35,ID,1680475853
322,alofi,-19.0595,-169.9187,28.94,70,63,8.23,NU,1680475871
323,hobyo,5.3505,48.5268,28.16,76,62,5.27,SO,1680476451
324,atambua,-9.1061,124.8925,24.37,78,63,1.11,ID,1680476451
325,brae,60.3964,-1.353,7.02,81,68,3.01,GB,1680476451
326,haines junction,60.7522,-137.5108,-2.03,40,100,1.03,CA,1680476336
327,masyaf,35.0653,36.3406,9.8,63,75,1.47,SY,1680476451
328,chatrapur,19.35,84.9833,25.02,66,80,0.84,IN,1680476451
329,brownsville,25.9018,-97.4975,29.49,75,79,8.45,US,1680476437
330,inhambane,-23.865,35.3833,21.57,76,10,1.43,MZ,1680476451
331,chitral,35.8462,71.7858,8.96,66,98,1.25,PK,1680476451
332,la rioja,42.25,-2.5,3.88,96,41,1.88,ES,1680476452
333,kamenskiy,50.8855,45.488,6.03,74,92,2.63,RU,1680476452
334,mitu,1.1983,-70.1733,22.81,97,90,0.42,CO,1680476452
335,mulatupo,8.9492,-77.7652,26.5,84,74,2.26,PA,1680476452
336,pontianak,-0.0333,109.3333,23.99,94,20,1.03,ID,1680476452
337,fort saint james,54.4333,-124.25,3.6,55,24,1.5,CA,1680476452
338,shushtar,32.0455,48.8567,14.58,40,0,1.31,IR,1680476452
339,pastavy,55.1168,26.8326,-2.2,84,89,6.52,BY,1680476235
340,kawalu,-7.3817,108.2082,22.88,96,100,0.39,ID,1680476453
341,baykit,61.67,96.37,-12.03,99,99,1.22,RU,1680476296
342,matay,28.419,30.7792,18.51,28,0,3.49,EG,1680476453
343,korla,41.7597,86.1469,0.16,44,0,2.72,CN,1680476453
344,mercedes,-34.6515,-59.4307,19.36,53,93,3.54,AR,1680476453
345,fengcheng,40.4536,124.0717,12.83,35,96,1.34,CN,1680476453
346,mogadishu,2.0371,45.3438,28.04,74,100,2.03,SO,1680476453
347,nuuk,64.1835,-51.7216,-4.6,60,9,4.8,GL,1680475858
348,zheleznodorozhnyy,55.7503,38.0042,7.86,89,100,1.8,RU,1680476453
349,mareeba,-17.0,145.4333,26.4,96,21,2.35,AU,1680476453
350,humaita,-7.5061,-63.0208,23.28,99,72,1.62,BR,1680476453
351,trairi,-3.2778,-39.2689,24.37,86,100,0.86,BR,1680475645
352,torbay,47.6666,-52.7314,4.93,93,100,7.72,CA,1680476454
353,yeppoon,-23.1333,150.7333,22.88,86,98,3.19,AU,1680476454
354,belyy yar,53.6039,91.3903,-9.06,73,0,2.0,RU,1680476454
355,constitucion,-35.3333,-72.4167,14.93,71,9,6.44,CL,1680476278
356,sur,22.5667,59.5289,26.12,65,3,0.63,OM,1680475863
357,pevek,69.7008,170.3133,-26.64,99,100,1.3,RU,1680476454
358,necochea,-38.5473,-58.7368,16.3,74,100,3.08,AR,1680476454
359,brindisi,40.5833,17.6667,13.58,81,100,3.02,IT,1680475855
360,jardim,-21.4803,-56.1381,26.78,65,39,1.01,BR,1680476454
361,saryg-sep,51.5,95.6,-18.15,92,17,1.65,RU,1680476455
362,luganville,-15.5333,167.1667,30.42,70,78,2.65,VU,1680476455
363,kaitangata,-46.2817,169.8464,15.52,64,46,2.05,NZ,1680476455
